Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
Abbott Xience PROX 3.0 mm x 12 mm (7022141915675);16.5.2017 11:15;-1;"";29.2.2020;08717648164323;7022141915675;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7022141915930);11.5.2017 13:02;-1;"";29.2.2020;08717648164323;7022141915930;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7032841915231);19.7.2017 10:12;-4;"";4.4.2020;08717648164323;7032841915231;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7042441915199);26.7.2017 14:12;-1;"";1.5.2020;08717648164323;7042441915199;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7051741915309);16.8.2017 11:36;-6;"";23.5.2020;08717648164323;7051741915309;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7062441915097);28.8.2017 11:09;-2;"";4.7.2020;08717648164323;7062441915097;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7062441915104);24.8.2017 13:56;-1;"";4.7.2020;08717648164323;7062441915104;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7072041915257);20.3.2018 13:55;-5;"";31.7.2020;08717648164323;7072041915257;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7072041915258);13.3.2018 13:02;1;"";31.7.2020;08717648164323;7072041915258;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7082241915100);13.3.2018 12:57;-2;"";27.8.2020;08717648164323;7082241915100;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7082241915756);26.10.2017 11:21;-1;"";27.8.2020;08717648164323;7082241915756;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7082241915757);22.11.2017 13:50;-1;"";27.8.2020;08717648164323;7082241915757;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7091841915303);13.2.2018 14:14;-1;"";25.9.2020;08717648164323;7091841915303;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7102441915628);1.2.2018 16:05;1;"";1.11.2020;08717648164323;7102441915628;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7102441915630);15.2.2018 10:09;-1;"";1.11.2020;08717648164323;7102441915630;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7112941915339);15.2.2018 9:45;1;"";5.12.2020;08717648164323;7112941915339;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7122041915103);20.3.2018 14:20;1;"";7.1.2021;08717648164323;7122041915103;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7122041915497);4.4.2018 13:39;1;"";7.1.2021;08717648164323;7122041915497;HUS Meilahti kaupinta varasto BMXP BMX6
