Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
Abbott Xience PROX 3.5 mm x 23 mm (8022341915259);17.5.2018 11:32;1;"";12.3.2021;08717648161872;8022341915259;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 28 mm (7022041915105);22.3.2018 13:24;-2;"";23.2.2020;08717648161889;7022041915105;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 28 mm (7022041915106);3.4.2017 14:09;1;"";23.2.2020;08717648161889;7022041915106;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 28 mm (7022041915150);13.4.2018 13:05;-1;"";23.2.2020;08717648161889;7022041915150;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 28 mm (7022041915151);9.3.2018 14:24;1;"";23.2.2020;08717648161889;7022041915151;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 28 mm (7022041915156);16.3.2018 11:23;1;"";23.2.2020;08717648161889;7022041915156;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 28 mm (7030941915310);24.8.2017 13:17;-1;"";21.3.2020;08717648161889;7030941915310;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 28 mm (7030941915386);23.5.2017 13:09;1;"";21.3.2020;08717648161889;7030941915386;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 28 mm (7071241915008);18.10.2017 14:28;-1;"";18.7.2020;08717648161889;7071241915008;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 28 mm (7071241915130);22.9.2017 8:54;1;"";18.7.2020;08717648161889;7071241915130;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 28 mm (7082341915012);9.3.2018 14:19;-1;"";4.9.2020;08717648161889;7082341915012;Peijas BMXP BMX6
